Date,Date,P1 [MW],P2 [MW],P3 [MW],P4 [MW],H1 [#],H2 [#],H3 [#],Min Prod [MWh],MaxEnergy
2014-04-01,2014-04-01,73.7,47.8,40.0,0,3,4,9,254.2,772.3
2014-04-02,2014-04-02,73.6,47.8,40.0,0,3,4,9,276.5,772.0
2014-04-03,2014-04-03,55.3,47.7,39.9,0,3,4,9,269.5,715.8
2014-04-04,2014-04-04,54.1,47.7,39.9,0,3,4,9,289.9,712.2
2014-04-05,2014-04-05,73.5,47.7,39.9,0,3,5,8,297.6,778.2
2014-04-06,2014-04-06,73.5,47.7,39.9,0,3,5,8,303.2,778.2
2014-04-07,2014-04-07,73.5,47.7,39.8,0,3,5,8,345.5,777.4
2014-04-08,2014-04-08,73.5,47.6,39.8,0,4,5,7,388.8,810.5999999999999
2014-04-09,2014-04-09,73.5,47.6,39.8,0,3,5,8,358.9,776.9
2014-04-10,2014-04-10,73.3,47.6,39.8,0,3,5,8,332.8,776.3
2014-04-11,2014-04-11,73.3,47.6,39.8,0,3,5,8,328.8,776.3
2014-04-12,2014-04-12,73.3,47.6,39.8,0,3,4,9,302.5,768.5
2014-04-13,2014-04-13,73.3,47.6,39.8,0,3,5,8,331.0,776.3
2014-04-14,2014-04-14,59.3,38.9,34.6,0,4,4,8,360.8,669.5999999999999
2014-04-15,2014-04-15,67.3,41.5,35.5,0,4,4,8,355.1,719.2
2014-04-16,2014-04-16,53.3,45.8,39.7,0,3,4,9,284.9,700.4
2014-04-17,2014-04-17,53.3,45.8,39.7,0,3,4,9,260.4,700.4
2014-04-18,2014-04-18,71.5,45.8,39.8,0,3,4,9,256.3,755.9
2014-04-19,2014-04-19,71.5,45.8,39.8,0,3,4,9,265.0,755.9
2014-04-20,2014-04-20,71.5,45.8,39.8,0,3,3,10,241.5,749.9
2014-04-21,2014-04-21,60.8,34.9,28.3,0,3,3,10,286.2,570.0999999999999
2014-04-22,2014-04-22,60.6,34.9,28.3,0,4,3,9,324.1,601.8000000000001
2014-04-23,2014-04-23,60.6,34.8,28.3,0,4,3,9,335.7,601.5
2014-04-24,2014-04-24,60.6,34.8,28.3,0,5,2,9,387.9,627.3000000000001
2014-04-25,2014-04-25,60.6,34.8,28.1,0,5,3,8,436.2,632.2
2014-04-26,2014-04-26,60.6,34.8,28.1,0,5,3,8,482.8,632.2
2014-04-27,2014-04-27,60.6,34.8,28.3,0,6,3,7,581.0,666.1
2014-04-28,2014-04-28,58.9,33.1,26.5,0,6,2,8,505.9,631.5999999999999
2014-04-29,2014-04-29,58.2,32.4,25.9,0,5,3,8,481.8,595.4
2014-04-30,2014-04-30,58.2,32.4,25.9,0,6,3,7,537.9,627.7
