Date,Date,Min prod,Inflow lake 1 [m3],Inflow lake 2 [m3],Inflow lake 3 [m3],Inflow lake 4 [m3],Vol lake 1 [%],Max lake 1 [1000m3],Availability plant 1 [%],Availability plant 2 [%],Availability plant 3 [%],Availability plant 4 [%],SDL [MWh],Weekend,Variante Prio,PrioH1,PrioP1,PrioH2,PrioP2,PrioH3,PrioP3,PrioH4,PrioP4,TotalAvailablePower
2014-04-01,2014-04-01,0.0,31.0,4.0,129.0,107.0,0.16467,30000.0,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0,0.0,False,902.4000000000001,4.0,73.8,4.0,66.0,8.0,42.9,0.0,0.0,77.39999999999998
2014-04-02,2014-04-02,150.0,0.0,-14.0,148.0,116.0,0.15557,30000.0,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0,0.0,False,902.4000000000001,4.0,73.8,4.0,66.0,8.0,42.9,0.0,0.0,77.39999999999998
2014-04-03,2014-04-03,150.0,10.0,6.0,132.0,118.0,0.14765,30000.0,1.0000000000000002,0.9999999999999997,0.2916666666666667,1.0,0.0,False,902.4000000000001,4.0,73.8,4.0,66.0,8.0,42.9,0.0,0.0,59.124999999999986
2014-04-04,2014-04-04,150.0,19.0,6.0,150.0,118.0,0.13716,30000.0,1.0000000000000002,0.9999999999999997,0.25,1.0,0.0,False,902.4000000000001,4.0,73.8,4.0,66.0,8.0,42.9,0.0,0.0,58.04999999999999
2014-04-05,2014-04-05,180.0,41.0,15.0,148.0,124.0,0.13091,30000.0,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0,0.0,True,897.5999999999999,4.0,72.6,4.0,66.0,8.0,42.9,0.0,0.0,77.39999999999998
2014-04-06,2014-04-06,120.0,81.0,24.0,145.0,129.0,0.12947,30000.0,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0,0.0,True,897.5999999999999,4.0,72.6,4.0,66.0,8.0,42.9,0.0,0.0,77.39999999999998
2014-04-07,2014-04-07,90.0,61.0,33.0,163.0,147.0,0.12467,30000.0,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0,0.0,False,897.5999999999999,4.0,72.6,4.0,66.0,8.0,42.9,0.0,0.0,77.39999999999998
2014-04-08,2014-04-08,180.0,45.0,12.0,198.0,160.0,0.11855,30000.0,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0,0.0,False,897.5999999999999,4.0,72.6,4.0,66.0,8.0,42.9,0.0,0.0,77.39999999999998
2014-04-09,2014-04-09,240.0,86.0,27.0,178.0,146.0,0.1146,30000.0,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0,0.0,False,897.5999999999999,4.0,72.6,4.0,66.0,8.0,42.9,0.0,0.0,77.39999999999998
2014-04-10,2014-04-10,210.0,115.0,25.0,174.0,125.0,0.10887,30000.0,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0,0.0,False,708.5999999999999,3.0,70.8,2.0,58.2,3.0,51.0,6.0,37.8,77.39999999999998
2014-04-11,2014-04-11,270.0,110.0,24.0,170.0,126.0,0.10483,30000.0,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0,0.0,False,708.5999999999999,3.0,70.8,2.0,58.2,3.0,51.0,6.0,37.8,77.39999999999998
2014-04-12,2014-04-12,270.0,146.0,48.0,146.0,116.0,0.10629,30000.0,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0,0.0,True,708.5999999999999,3.0,70.8,2.0,58.2,3.0,51.0,6.0,37.8,77.39999999999998
2014-04-13,2014-04-13,180.0,135.0,52.0,166.0,120.0,0.10764,30000.0,1.0000000000000002,0.9999999999999997,0.9999999999999999,1.0,0.0,True,708.5999999999999,3.0,70.8,2.0,58.2,3.0,51.0,6.0,37.8,77.39999999999998
2014-04-14,2014-04-14,228.0,135.0,37.0,192.0,127.0,0.10399,30000.0,0.5608974358974352,0.8611111111111107,0.7916666666666666,1.0,48.0,False,646.2,3.0,63.0,2.0,50.4,3.0,43.2,6.0,37.8,63.34999999999998
2014-04-15,2014-04-15,283.0,112.0,15.0,201.0,121.0,0.09994,30000.0,0.7692307692307693,0.9999999999999997,0.9999999999999999,1.0,43.2,False,646.2,3.0,63.0,2.0,50.4,3.0,43.2,6.0,37.8,75.59999999999998
